,Channel_Name,Language,Tags,Last_Played_Game,Game_ID,ChannelID,Count,followers
420,duendepablo,es,"['LaComarca', 'Español', '6000horas', 'Duende', 'DropsActivados']",Just Chatting,509658,47939440,30361,945896
421,dennsen86,de,"['retro', 'Speedrun', 'Deutsch']",Retro,27284,46786508,8085,80121
422,des0ut,ru,"['Русский', 'киберспорт', 'умом']",Just Chatting,509658,39154501,23818,508881
423,detonator_robin,ja,['日本語'],Street Fighter 6,55453844,81296754,12892,60045
424,dezignful,en,"['English', 'DropsEnabled']",Arena Breakout: Infinite,401587136,431470138,13038,210374
425,dkwl025,ko,['한국어'],Just Chatting,509658,185398814,10606,346511
426,drigo,es,"['CoscuArmy', 'IRL', 'Argentina', 'Gaming', 'Gamer', 'ASMR', 'Chill', 'Español', 'drigo', 'bairestreets']",Just Chatting,509658,51315079,22184,619089
427,dumbdog,en,"['furry', 'dog', 'English']",Escape from Tarkov,491931,31736255,14572,207254
428,eaddy_,th,"['ภาษาไทย', 'ไทย']",PUBG: BATTLEGROUNDS,493057,217674862,13794,92817
429,eliasn97,de,['Deutsch'],Just Chatting,509658,238813810,221534,1939837
430,elisawaves,es,"['Elisawaves', 'Español', 'Música', 'Covers', 'Roleplay', 'GTA', 'Charlas', 'SagaRP', 'LaHermandadRP']",Just Chatting,509658,506880770,9893,451091
431,denis3d,en,"['Roleplay', 'FiveM', 'MLO', 'Interior', 'Blender', '3D', 'Modeling', 'English', 'NoPixel', 'Developement']",Special Events,509663,47796439,7945,64770
432,domingo,fr,['Français'],Just Chatting,509658,40063341,97120,1795794
433,drjayfisto,en,['English'],World of Warcraft,18122,43410417,9245,162183
434,dua3362,ko,['한국어'],Just Chatting,509658,137728196,8484,201087
435,duduu027,pt,['Português'],Minecraft,27471,195832813,3817,87033
436,elcanaldejoaco,es,"['Español', 'IRL']",Just Chatting,509658,430476278,47560,1580035
437,drututt,en,"['Futa', 'Drututt', 'famillyguy', 'English', 'Vtuber']",League of Legends,21779,57131280,48898,592547
438,ekatze007,ru,"['ekatze007', 'ekatze', 'Русский']",Just Chatting,509658,466153965,26049,693064
439,dekar173,en,"['Challenger', 'League', 'Top', 'LoL', 'Educational', 'Jungle', 'Tank', 'Assassin', 'English', 'Rengar']",League of Legends,21779,8026307,9387,190315
440,delux,it,"['delux', 'melagoodo', 'addobboland', 'addobbogang', 'officialdeluxx', 'mela', 'ita', 'Italiano']",Special Events,509663,63072834,12498,424388
441,dkayed,en,"['Anime', 'PvP', 'CardGame', 'Competitive', 'Tournament', 'yugioh', 'English']",Yu-Gi-Oh! Master Duel,1119642287,149727725,17661,213528
442,doktorfroid,de,"['Show', 'Reaktion', 'IRL', 'Entertainment', 'kochen', 'Deutsch', 'gaming', 'Tabletop', 'gamescom']",Special Events,509663,58221890,23806,254068
443,dota2ruhub,ru,"['Киберспорт', 'Русский']",Dota 2,29595,100814397,163273,929474
444,dreadztv,ru,['Русский'],RimWorld,394568,31089858,54214,716324
445,elajjaz,en,['English'],Black Myth: Wukong,519291,26921830,57879,495722
446,echo_esports,en,"['English', 'Esports', 'EchoEsports', 'RWF', 'RacetoWorldFirst']",FINAL FANTASY XIV ONLINE,24241,558530984,16115,328815
447,elmariana,es,"['Español', 'Português', 'Locura']",Just Chatting,509658,496795673,256128,9919569
448,dda_ju,ko,['한국어'],dda_ju,dda_ju,137736535,41832,407045
449,deercheerup,pt,"['csgo', 'GTARP', 'Português', 'IRL', 'prata', 'Reposição']",EA Sports FC 24,143106037,245622027,52542,428344
450,deuceace,en,"['English', 'Polish']",Slots,498566,547554019,28119,243935
451,dmitry_bale,ru,"['Vtuber', 'Русский']",Black Myth: Wukong,519291,130313947,2683,154571
452,drlupo,en,"['ADD', 'Daddy', 'Depression']",drlupo,drlupo,29829912,1112,4463365
453,eaimaka,pt,"['Português', 'valorant', 'eaimaka', 'MAKA', 'Luna']",Path of Exile,29307,88208039,12026,377828
454,demonzz1,pl,['Polski'],Escape from Tarkov,491931,106318725,8915,128146
455,dogdog,en,['English'],Hearthstone,138585,60978448,79892,643179
456,doutora,pt,"['Chill', 'ASMR', 'Leitura', 'Livro', 'Português']",Reading Fun,2115882958,266432203,4892,57678
457,drainerx,en,"['Arena', 'PvP', 'Competitive', 'WOW', 'Gaming', 'Esports', 'Blizzard', 'WorldofWarcraft', 'HighRated', 'DROPSENABLED']",World of Warcraft,18122,27031399,11818,93466
458,edopeh,de,['Deutsch'],7 Days to Die,271304,72726363,9699,34675
459,dnd,en,['English'],Dungeons & Dragons,509577,32563943,4571,208441
460,domenicowaccoo,tr,"['Türkçe', 'TekrarYürüt', 'DroplarEtkin']",Rise Online,516588,156203554,15747,123391
461,delt4forc3,es,"['Vtuber', 'speedrun', 'animé', 'intelectual', 'Español', 'Variedad']","Pools, Hot Tubs, and Beaches",116747788,31894912,8673,161985
462,dexbonus,en,"['English', 'ReadChat', 'JustYapping', 'Vtuber']",Crime Scene Cleaner,343455332,20483303,12549,337518
463,deyyszn,en,['English'],Fortnite,33214,411331824,31310,638780
464,diables,pl,"['Polski', 'drops', 'Gotowanie']",Just Chatting,509658,130271562,19273,253119
465,dmdtkadl69,ko,['한국어'],dmdtkadl69,dmdtkadl69,137884624,5525,38664
466,dmf_kyochan,ja,"['日本語', '恭一郎', 'デブ', 'ファーム']",MOTHER 3,2124779413,165572706,26374,310568
467,ds_lily,en,"['Beef', 'NoSleep', 'Blasting', 'Stalling', 'English', 'Hardcore', 'DropsEnabled']",Path of Exile,29307,144926827,19847,140426
468,eazykee,hu,"['Magyar', 'GTAⅤ', 'gtavrproleplay', 'Travel', 'gta', 'justchatting', 'szerencsejáték', 'gambling']",I'm Only Sleeping,498592,100360329,4426,69446
469,edenitoo,pl,"['Polski', 'NoPixel', 'owo', 'English', 'DropyWłączone']",Spectre Divide,1451084268,136480781,10819,80903
470,elded,es,['Español'],Just Chatting,509658,76385901,106443,5602453
471,deathsie,en,"['English', 'Educational']",Magic: The Gathering,2748,100544756,9481,42398
472,desenhosbr,pt,['Português'],desenhosbr,desenhosbr,696529556,2130,7123
473,deusdaguerrarodrigo,pt,"['deusdaguerra', 'gow', 'Português', 'Mododifícil', 'desafio', 'challenge', '100Porciento', 'lindo', 'sexygirlgamer', 'GOSTOSÃO']",God of War Ragnarök,102007682,402786416,6182,67510
474,dreamwastaken,en,['English'],Minecraft,27471,657297676,21091,916240
475,drekzenn,es,"['pvp', 'jcj', 'Español']",Just Chatting,509658,65206102,15928,199694
476,efeuygac,tr,efeuygac,Just Chatting,509658,103237625,18549,617347
477,dish,en,"['froggy', 'Woman', 'English', 'Comfy', 'drops', 'Gacha']",Special Events,509663,255567495,19980,519830
478,dmitry_lixxx,ru,['Русский'],Just Chatting,509658,188890121,63206,1459889
479,drgluon,en,"['English', 'BackseatGamingAllowed', 'itsafez', 'funny', 'Cozy', 'wholesome']",Black Myth: Wukong,519291,56361303,4791,110152
480,derhauge,de,"['Deutsch', 'Japan', 'chill']",RimWorld,394568,71753298,12404,83703
481,dmt_tv,th,"['ไทย', 'ภาษาไทย']",Ragnarok X: Next Generation,431371739,122017703,5451,57255
482,dopa24,ko,"['도파', '실력방송', '한국어']",Just Chatting,509658,536083731,21094,704241
483,eduardo_hook,en,"['English', 'Vtuber']",Just Chatting,509658,72414688,9930,75661
484,dougisraw,en,"['Im', 'in', 'your', 'walls', 'English']",Call of Duty: Warzone,512710,54498880,10530,175352
485,dvm_medja,fr,['Français'],IRL,509672,132199022,31865,395973
486,ej_sa,en,['English'],Kerbal Space Program,32742,26374918,5394,77193
487,dreamalt,en,['English'],Minecraft,27471,261728433,550,5231
488,drfeelgood,fr,['Français'],Among Us,510218,38350595,22060,302035
489,dekarldent,de,"['Vegan', 'Chatting', 'Soy', 'News', 'Artist', 'Politik', 'Deutsch']",Just Chatting,509658,137907801,17784,96484
490,dendi,en,"['English', 'dota2', 'MOBA', 'newpatch']",Dota 2,29595,39176440,33431,1035272
491,dhalucard,de,"['Gaming', 'Multiplayer', 'Competitive', 'Variety', 'Dhalucard', 'Deutsch', 'CoStream']",Black Myth: Wukong,519291,16064695,97905,548219
492,diegosaurs,en,"['English', 'BipolarDisorder', 'ADHD']",League of Legends,21779,73779954,37124,657435
493,disnof,en,['English'],7 Days to Die,271304,46029485,7616,49201
494,divi,de,"['challenge', 'soulslike', 'German', 'Deutsch']",Black Myth: Wukong,519291,64949289,11078,93170
495,dskoopa,en,"['Business', 'BehindTheScenes', 'Shopping', 'Retro', 'English', 'IRL']",Just Chatting,509658,56962861,4142,84871
496,dutchsinseofficial,en,['English'],Science & Technology,509670,107939114,3695,57768
497,elbokeron,es,['Español'],Just Chatting,509658,74547642,9889,505659
498,ellesmere_gaming,en,['English'],World of Warcraft,18122,146094553,5310,85942
499,distortion2,en,"['Speedrun', 'Chad', 'Loves', 'Anime', 'And', 'Stalling', 'English']",Black Myth: Wukong,519291,36324138,51683,663173
500,dolphinchemist,en,"['genius', 'bernie', 'markov', 'English', 'Esperanto', 'NoBackseating']",Knock on the Coffin Lid,516978,23946146,16089,70539
501,elposhas_,es,['Español'],Just Chatting,509658,474070323,884,61547
502,elwycco,ru,['Русский'],RimWorld,394568,94849379,20757,244390
503,esl_wc3,en,['Esports'],Warcraft III,12924,130447455,48,28499
504,eslcs_es,es,"['Esports', 'ESL', 'Europa', 'Español', 'IEM', 'cs', 'counterstrike2']",Counter-Strike,32399,28608943,18549,295861
505,esports_alliance,th,esports_alliance,PUBG: BATTLEGROUNDS,493057,196327334,13435,147277
506,farhadxray,en,"['fps', 'farsi', 'iran', 'persianstreamer', 'farhadxray', 'gamer', 'English']",Call of Duty: Warzone,512710,280541454,29822,318697
507,flexz,es,"['Español', 'warzone', 'calldofduty', 'tecladoyraton']",Black Myth: Wukong,519291,39850052,22896,392426
508,elotrix,de,['Deutsch'],Just Chatting,509658,43286888,31962,1642786
509,emongg,en,"['English', 'DropsEnabled']",Overwatch 2,515025,23220337,27152,1020036
510,esamarathon,en,"['Speedrun', 'Tournament', 'English', 'Rerun']",TETR.IO,517447,54739364,17714,291677
511,esfandtv,en,"['English', 'IRL', 'OTK', 'Football', 'CFB', 'Events', 'collegefootball', 'eacfb25', 'FGC', 'GTARP']",Madden NFL 25,1320984402,38746172,125007,1373406
512,evonmoss,tr,['Türkçe'],Just Chatting,509658,139848119,11424,359801
513,fire_kitchen,en,['English'],ASMR,509659,500770605,12156,133640
514,flurry1989,ko,['한국어'],Just Chatting,509658,92371909,25748,213012
515,elrichmc,es,['Español'],Minecraft,27471,30651868,32388,1417841
516,fairlight_excalibur,en,"['Educational', 'Gigachad', 'Analyst', 'Reviewer', 'English', 'NoSpoilers', 'Variety', 'chilll', 'nontoxic']",Sins of a Solar Empire II,1467844705,54989347,20287,405510
517,fandercs,ru,['Русский'],Counter-Strike,32399,174053656,14015,364407
518,fenohs,en,['English'],Hearthstone,138585,108604081,9711,92628
519,firedragon,en,['English'],Cat Quest III,319442930,40028988,5718,185420
520,fitzyhere,en,"['Chill', 'Positivity', 'Sombra', 'English', 'DropsEnabled']",Overwatch 2,515025,23155607,8154,236169
521,flight23white,en,['English'],Fortnite,33214,51270104,39883,2274784
522,esportmaniacos,es,['Español'],League of Legends,21779,99625250,30113,176568
523,eternalenvyy,en,"['Educational', 'English']",Call of Dragons,561028012,26954716,17219,287264
524,fasoollka,ru,"['Русский', 'чат', 'беседа', 'шоу', 'фасолька', '150см', 'разговоры', 'игры', '39кгМышц']",Just Chatting,509658,425608057,18171,322194
525,faux,en,['English'],Old School RuneScape,459931,40980097,24128,306863
526,felps,pt,"['Felps', 'Variedade', 'Português', 'FelpsFelps', 'FelpsFelpsFelps', 'FelpsFelpsFelpsFelps', 'FelpsFelpsFelpsFelpsFelps']",Just Chatting,509658,30672329,33609,1460441
527,emilyywang,en,"['FUTUREWORLDSWINNER', 'FUTURERANK1', 'COMPETITIVE', 'English', 'Chinese中文']",Just Chatting,509658,36594525,25155,244838
528,eskc,fr,['Français'],ELDEN RING,512953,183819202,12023,150099
529,esl_sc2,en,"['Esports', 'English']",StarCraft II,490422,30220059,40199,396477
530,etalyx,en,['English'],Out of the Park Baseball 25,1063665418,28054687,5822,73596
531,evaanna,en,"['girl', 'women', 'IRL', 'Outdoors', 'fitness', 'Cosplay', 'English', 'Russian', 'Türkçe', 'VisualASMR']",Just Chatting,509658,130784874,43714,728437
532,faah,pt,faah,VALORANT,516575,147982491,1239,155834
533,faiar,ro,"['Română', 'Romania', 'Romanian']",Just Chatting,509658,93179860,13853,143944
534,failverde,zh,"['中文', '抽卡不歪', '訂閱免廣告', '启用掉宝']",Zenless Zone Zero,456845141,23852822,23249,290720
535,elspreen,es,"['Spreen', 'Español']",Just Chatting,509658,157658336,79987,9514110
536,fanum,en,"['hispanic', 'AMP', 'oversized', 'nyc', 'black', 'D10', 'fanumtax', 'Dominicano', 'Español', 'México']",Just Chatting,509658,139251406,18063,2529307
537,fares_salvatoree,fr,['Français'],Fortnite,33214,679162237,7492,180192
538,fazesway,en,['English'],Black Myth: Wukong,519291,416689874,35390,1278366
539,faker,ko,faker,League of Legends,21779,43691,173570,3861048
540,elwind,tr,"['Türkçe', 'Türkçe', 'Türkiye', 'Turkish', 'elwind', 'Turkey', 'lol']",League of Legends,21779,71761252,39081,995574
541,es4xtank,ru,"['csgo', 'Победитель', 'тигр', 'Шоу', 'Турниры', 'Киберспорт', 'ДЕД', 'ТОП', 'Русский', 'интересный']",Counter-Strike,32399,144663813,8234,51198
542,esl,en,"['Esports', 'English']",Dota 2,29595,67834893,2868,309070
543,esl_csgo,en,esl_csgo,esl_csgo,esl_csgo,936264266,516764,248
544,ezekiel_iii,en,"['English', 'ClosedCaptions', 'Humor', 'Swearing']",Gothic,1818,14410317,14556,218655
545,fantabobshow,fr,"['Français', 'BobLennon']",Hyrule Warriors,418067,29188740,12511,526725
546,fengrush,en,"['English', 'DropsEnabled']",Guild Wars 2,19357,94269217,7798,114438
547,elojoninja,es,"['LoL', 'Nidalee', 'Gragas', 'ElOjoNinja', 'Español', 'TARKOV', 'WIPEDAY', 'leesin', 'leagueoflegends']",Just Chatting,509658,39692658,24805,511977
548,fenya,ru,"['Русский', 'Шутеры', 'Токсичность']",Delta Force,1282866981,102302893,16901,740082
549,falcodrin,en,"['stream', 'english', 'English']",Just Chatting,509658,39705645,2760,47421
550,flamuu,en,"['English', 'Drops']",Special Events,509663,63867913,14250,140918
551,eybl3,en,['English'],Sports,518203,703580466,3,17042
552,etoiles,fr,['Français'],Just Chatting,509658,85800130,53546,1108550
553,fl0m,en,"['BEARD', 'Washed', 'Pro', 'CONTENT', 'FAT', 'NotFat', 'NOTlate', 'SwoleDaddy', 'English']",Counter-Strike,32399,25093116,26241,887981
554,flackjk,ru,"['FJK', 'FlackJK', 'Киберспорт', 'Победитель', 'BIGW', 'Русский']",Black Myth: Wukong,519291,40950213,4676,307279
555,flamekr,ko,"['프로게이머', '호감형', '한국어', 'HPOMEN']",Just Chatting,509658,141541560,17944,167994
556,et_1231,zh,['中文'],Just Chatting,509658,117348035,44551,414931
557,enzzai,ru,"['Русский', 'Кудрявый', 'Мама', 'Папа', 'Я', 'Веселая', 'Семья', 'TogetherForGood', 'Благотворительность']",Just Chatting,509658,467031116,9148,171833
558,euriece,ja,"['日本語勉強', '日本語', 'ユリース', 'EURIECE', '雑談']",VALORANT,516575,206506086,71276,349181
559,emadgg,en,['English'],Fortnite,33214,154526718,24263,1425603
560,eryctriceps,en,"['English', 'Faceit', 'CS2', 'Pro', 'Premier']",Counter-Strike,32399,85943836,13184,587754
561,exequiel,es,"['Español', 'GTAⅤ', 'Roleplay', 'marbella', 'marbellavice']",Rust,263490,168059152,5469,89027
562,faide,en,"['movement', 'solo', 'trios', 'Apex', 'wraith', 'English', 'ADHD']",Apex Legends,511224,51065352,33808,1117503
563,falgwang,ko,"['도적', '귀마개', '와우', '한국어']",World of Warcraft,18122,111849561,5012,44753
564,farfa,en,"['pepega', 'yugioh', 'scottish', 'arab', 'algerian', 'masterduel', 'nobackseating', 'English']",Just Chatting,509658,102680338,13912,119668
565,fextralife,en,"['firstplaythrough', 'halloween', 'horror', 'English']",Marbles on Stream,509511,156037856,575272,1569612
566,flats,en,"['English', 'DropsEnabled']",Overwatch 2,515025,141429177,11867,709515
567,erobb221,en,['English'],Dee's Nuts,1596835096,96858382,30843,469271
568,enviosity,en,"['English', 'Drops', 'F2P', 'Anime', 'Educational', 'Wholesome', 'Weeb', 'Slime', 'Gacha', 'Vtuber']",Zenless Zone Zero,456845141,44390855,102452,782454
569,evelone192,ru,['Русский'],Just Chatting,509658,39426641,130451,2360541
570,excessiveprofanity,en,"['English', 'Blind', 'NoBackseating', 'NoSpoilers']",Black Myth: Wukong,519291,38640167,13014,152523
571,f1ashko,ru,['Русский'],Wolfenstein II: The New Colossus,497439,43578182,15324,104331
572,fanhots,en,"['English', 'PvP', 'MOBA']",Heroes of the Storm,32959,42556012,10058,87973
573,fifatargrean,th,"['ไทย', 'ภาษาไทย']",Just Chatting,509658,134039697,13720,507462
574,elxokas,es,['Español'],Black Myth: Wukong,519291,31919607,357511,4048136
575,elraenn,tr,['Türkçe'],Just Chatting,509658,165080419,167365,4702297
576,elreyguiri_f1,es,"['Español', 'Formula1', 'elreyguiri', 'f124', 'f12024', 'gpespaña']",F1 24,627798963,231579912,7446,153311
577,evo,en,"['English', 'ViewerRewards']",Street Fighter 6,55453844,30917811,148,609427
578,faith,en,"['English', 'Girl', 'Lego', 'Woman', 'Canada', 'Canadian', 'ADHD', 'Ginger', 'Redhead', 'ASMR']",Just Chatting,509658,160538649,2007,605266
579,farfadoxvevo,es,['Español'],Counter-Strike,32399,224818031,30954,1640235
580,fifakillvizualz,en,['English'],Call of Duty: Warzone,512710,104659233,28778,595116
581,finaolive,en,['English'],Just Chatting,509658,415009669,8437,55972
582,elmiillor,es,"['Español', 'LeagueaofLegends', 'españa', 'andorra', 'justchatting', 'elmillor', 'elmiillor', 'salseo', 'Repetir']",League of Legends,21779,44880944,70769,839212
583,eray,tr,"['EROTV', 'Türkçe']",Just Chatting,509658,131403189,33302,1070913
584,ethos,en,"['fps', 'valorant', 'english', 'competitive', 'ranked', 'English', 'DropsEnabled']",Spectre Divide,1451084268,44558619,38028,591250
585,everyeyeit,it,"['videogiochi', 'notizie', 'tech', 'Italiano', 'CoStream']",Just Chatting,509658,52160263,9011,134570
586,farmhouse78,en,"['roleplay', 'rp', 'nopixel', 'fivem', 'English', 'stevenhayes', 'farmhouse78', 'ONX', 'ONXRP', 'NoPixelWL']",Grand Theft Auto V,32982,6864499,3111,23493
587,empyriangaming,en,"['Educational', 'cozy', 'PvE', 'English', 'Leveling', 'ASMR', 'drops', 'Farming', 'English']",Path of Exile,29307,48631915,14606,194333
588,exbc,en,"['English', 'LiveVlogging', 'outdoor', 'Korea', 'Travel', 'IRL', 'Cooking', 'food', 'drink']",IRL,509672,67852884,12374,198761
589,florryworry,en,['English'],Europa Universalis IV,67584,25270623,11627,82131
590,fobm4ster,en,['English'],Black Myth: Wukong,519291,31062476,27254,160643
591,esacarry,pt,"['Português', 'LEAGUEOFLEGENDS']",Virtual Casino,29452,63162874,29449,380316
592,enkk,it,"['cooking', 'gigachad', 'almostchiavable', 'averaged', 'Italiano', 'aiguru', 'retrotopico', 'adultista', 'esiziale', 'turlupinante']",shapez 2,725952850,52443328,15472,171863
593,ewroon,pl,['Polski'],Just Chatting,509658,82197170,54417,918694
594,fabrizioromano,en,fabrizioromano,Sports,518203,683703013,6636,521254
595,facefoot,en,['English'],Diablo IV,515024,81423079,289,5807
596,elweroking,es,"['Español', 'Vtuber', 'brawlstars']",ROBLOX,23020,211447548,476,59418
597,fakemonster,fr,['Français'],Just Chatting,509658,90250629,20898,221921
598,fcsm_kefir,ru,"['Fifa', 'Русский']",EA Sports FC 24,143106037,45190616,7468,375810
599,fiizy,en,"['fiizy', 'mc', 'minecraft', 'hypixel', 'bedwars', 'hardcore', 'English']",Minecraft,27471,169638772,1473,146577
600,ernesbarbeq,es,"['Español', 'KOI', 'barbe', 'ADC']",Black Myth: Wukong,519291,41879247,21484,699764
601,gensyxa,ru,"['Русский', 'gensyxa']",Just Chatting,509658,81623587,27408,1310222
602,givinglifetop,ru,"['PvE', 'DropsActivated', 'Русский', 'GivingLifeTop', 'Mykas', 'WoW', 'dragonflight']",ELDEN RING,512953,116528496,4652,25209
603,gom4rt,fr,['Français'],60 Seconds! Reatomized,770229477,149220653,10551,196946
604,fritterus,ru,"['Hearthstone', 'Battlegrounds', 'ПоляСражений', 'Умом', 'Русский', 'English']",Hearthstone,138585,25058522,11013,57863
605,fundy,en,fundy,Just Chatting,509658,93028922,27708,1959342
606,frankkaster,es,"['stream9z', 'streamer9z', 'Español']",Counter-Strike,32399,61504845,5855,1011471
607,geef,en,"['English', 'Australian', 'YourRealDad', 'Voice', 'Chıll', 'DropsEnabled']",Hunt: Showdown 1896,500188,51465465,11099,74993
608,giantwaffle,en,"['English', 'Comfy', 'Cozy', 'ADHD']",Just Chatting,509658,22552479,29708,855292
609,godjj,zh,"['中文', '启用掉宝']",Honkai: Star Rail,213930085,11561802,33151,377167
610,goldglove,en,"['TeamNoWipe', 'GoldGlove', 'English', 'Parascrote', 'PortlandTrailBlazers', 'SeattleMariners', 'DadsOfTwitch', 'ADHD']",Escape from Tarkov,491931,1518077,12681,1397273
611,gongparipa,ko,['한국어'],Just Chatting,509658,84016053,26324,246956
612,follentass,ru,['Русский'],Just Chatting,509658,230768385,19498,336425
613,fragnance,en,['English'],World of Warcraft,18122,25084072,9637,183306
614,grimm,en,['English'],VALORANT,516575,191043512,23780,932652
615,grubby,en,"['English', 'Multiplayer', 'Mindset', 'Orcs', 'Robots', 'RealTimeStrategy', 'TurnBasedStrategy', 'CardGames', 'RPGs']",Black Myth: Wukong,519291,20992865,40343,634705
616,governor,en,['English'],VALORANT,516575,83428908,22910,275887
617,grandpoobear,en,"['hotmen', 'VisualASMR', '1', 'crack', 'drama', 'English', 'poo']",shapez 2,725952850,53831996,12432,319196
618,gohamedia,ru,"['gohamedia', 'games', 'events', 'garro', 'Русский']",Black Myth: Wukong,519291,31809543,8356,85934
619,grafo,es,['Español'],League of Legends,21779,40266934,42512,582589
620,freyzplayz,en,['English'],Just Chatting,509658,409760532,8006,292596
621,georgeciupilan0,it,georgeciupilan0,Just Chatting,509658,678061966,24,28944
622,freemok2,ru,"['Englísh', 'Русский', 'Українська']",Casino Simulator,1506110656,227780908,18298,317389
623,gafallen,pt,"['trybe', 'Português']",Counter-Strike,32399,37287763,35814,1509491
624,gemita,es,['Español'],IRL,509672,471811595,24294,1628791
625,get_right,en,"['CS2', 'counterstrike', 'English', 'playing', 'Charity', 'CharityFundraiser', 'CharityStream', 'VarietyGamer']",Counter-Strike,32399,38024128,7269,771587
626,ghazzytv,en,"['english', 'educational', 'Guide', 'drops', 'entertainment', 'fun', 'chill', 'English', 'Teaching']",Path of Exile,29307,23050280,15316,123861
627,fps_shaka,ja,"['日本語', 'ネタバレ禁止', 'ネタバレ注意', '大会のネタバレ禁止', '匂わせしないで', '聞いたら教えて']",FINAL FANTASY XIV ONLINE,24241,49207184,201687,1457126
628,freakazoid,en,"['BOOMER', 'ADHD', 'WORKOUT', 'gym', 'Hottub', 'English', '420', 'pro']",Counter-Strike,32399,26959170,9388,456209
629,gamergirl,en,['English'],League of Legends,21779,97782954,15249,362183
630,geefe,pt,"['Study', 'Pomodoro', 'Livros', 'Literatura', 'Sprints', 'CoWorking', 'CoStudy', 'Foco', 'studyWithMe', 'Português']",Just Chatting,509658,198337474,5349,51938
631,gnu_live,de,"['safeplace', 'safezone', 'safetalk', 'verbündete', 'safespace', 'Deutsch', 'horrorgamestreamer', 'Horror', 'cozygaming', 'Storygames']",Games + Demos,66082,88006635,25613,722559
632,fortnite,en,"['Esports', 'English']",Fortnite,33214,55125740,67082,5941239
633,gabi,en,gabi,gabi,gabi,746229857,29858,1871
634,greenish,en,['English'],Grand Theft Auto V,32982,176337442,5922,71876
635,gronkh,de,"['TollerStream', 'SoEinTollerStream', 'EinfachNurToll', 'Wirklich', 'toll', 'Deutsch']",Just Chatting,509658,12875057,97847,1697957
636,glorious_e,en,"['PVP', 'Vibes', 'Chill', 'Smile', 'PVE', 'English', 'Türkiye', 'Danmark', 'EFT', 'tarkov']",Escape from Tarkov,491931,63304572,21779,351435
637,gobgg,fr,['Français'],League of Legends,21779,40760591,16026,292732
638,gloriamatvien,en,"['kpop', 'irl', 'dance', 'English', '댄스', 'Русский']",Just Chatting,509658,188614162,25119,290305
639,gn_gg,ru,['Русский'],Casino Simulator,1506110656,95793204,9338,74867
640,godhunt,uk,"['Українська', 'losestreak', 'ToxicStreamer', 'crying', 'helpme']",Dota 2,29595,28295429,22712,196059
641,gamesdonequick,en,"['English', 'speedrun', 'FrameFatales', 'Rerun']",Special Events,509663,22510310,50493,2035287
642,ggwplanaya,ru,"['Русский', 'perfect', 'перфект']",Dota 2,29595,40256210,5739,178547
643,genius_mad,ko,['한국어'],Path of Exile,29307,138383895,5248,19398
644,gordaopd,pt,"['Português', 'CPXTATEGA', 'cpx', 'Elements']",Virtual Casino,29452,57608231,44,290602
645,gotaga,fr,['Français'],Call of Duty: Modern Warfare III,1337444628,24147592,218688,4351493
646,fuji720x,en,"['English', 'Football', 'eafc24']",EA Sports FC 24,143106037,42143654,10550,203900
647,gearbaby1010,zh,"['主打技術', '顏值還行', '中文', '棋靈王']",Teamfight Tactics,513143,162323092,39198,291915
648,foxenkin,en,"['ASMR', 'tingles', 'Relax', 'satisfying', 'ADHD', 'CuteStreamer', 'English', 'Cozy']",ASMR,509659,452985358,28378,376747
649,froggen,en,"['English', 'Anivia', 'leagueoflegends', 'Froggen']",League of Legends,21779,38865133,28769,778454
650,frost_,en,"['English', 'Rust', 'Frost', 'DropsEnabled']",Rust,263490,140870994,96,286651
651,ggbb528,zh,"['中文', 'English', '한국어', '訂閱免廣告', '日文']",League of Legends,21779,35154593,12456,111991
652,gladd,en,"['English', 'Relatable', 'Chill', 'ChallengeRun', 'Unfiltered']",Black Myth: Wukong,519291,81628627,37194,549188
653,foolish,en,['English'],Just Chatting,509658,145015519,77822,2189217
654,forsen,en,['English'],Black Myth: Wukong,519291,22484632,124294,1755971
655,froste,en,['English'],froste,froste,97186917,88,101883
656,frttt,pt,"['Português', 'valorant', 'fps']",Black Myth: Wukong,519291,30458295,49384,622201
657,gackt_n,ja,['日本語'],Super Smash Bros. Ultimate,504461,137362078,7864,53187
658,gernaderjake,en,"['Community', 'Hype', 'Destiny', 'TrialsofOsiris', 'Friendly', 'English', 'Bungie']",Destiny 2,497057,1423946,42248,577493
659,granny,en,"['denab', 'Old', 'iAppreciateit', 'English']",Crime Scene Cleaner,343455332,412027243,10641,101399
660,gratis150ml,pt,"['Gratis', 'LOL', 'Português', 'RPG', 'pilates', 'wow', 'Tibia', 'Ravendawn']",Mechabellum,515881069,52203144,40735,831484
661,forweark,es,"['Slots', 'Español', 'charlar']",Slots,498566,184189096,13560,217525
662,francoescamillalive,es,['Español'],Always On,499973,458195235,2808,381325
663,garenatw,zh,['電競'],League of Legends,21779,28462004,148,389896
664,generalqw,ru,"['дофаминовыекачели', 'Украина', 'Русский']",Casino Simulator,1506110656,89746245,23323,108199
665,georgenotfound,en,['English'],Just Chatting,509658,474849254,150339,4958205
666,goes_x,es,"['CHARLANDO', 'Español', 'gameplays']",Grand Theft Auto V,32982,228598214,10933,286433
667,gronkhtv,de,['Deutsch'],Kingdoms of Amalur: Reckoning,27340,106159308,49067,579885
668,gskianto,it,['Italiano'],I'm Only Sleeping,498592,150436863,40118,779809
669,fuslie,en,['English'],fuslie,fuslie,83402203,53098,1184725
